filename,date_obs,mjd_obs,object,jmag,exptime,airmass,median_flux_e,flux_per_sec,throughput_proxy,n_orders_used,zero_point
NIRPS_2024-10-25T01_30_50_766_pp_e2dsff_A.fits,2024-10-25T01:30:50,60608.0630875707,GJ1,5.33,178.3456,1.038,32818.112221665026,184.0141400834393,24937.40143639574,14,10.992127991277405
NIRPS_2024-10-25T01_34_00_257_pp_e2dsff_A.fits,2024-10-25T01:34:00,60608.0652807506,GJ1,5.33,178.3456,1.034,34098.035608935126,191.19078692681583,25909.97301822838,14,11.033667401816103
