file,object,mjd,date,fluxring,rmsresi,peakflar,anglflar,xcen,ycen
NIRPS_2023-06-04T08_55_30_526_guiding_analysis.fits,TIC464378628,60099.3718810852,2023-06-04T09:05:40,1976593.536142576,42.83488279287188,0.006750167432057368,120,362.2338215107361,218.13577893724462
NIRPS_2023-11-25T07_26_19_544_guiding_analysis.fits,TOI-732,60273.3099484287,2023-11-25T07:41:24,1227432.4779159417,27.267956400064932,0.011369683044501477,260.2,362.4362277584265,220.67041387937763
NIRPS_2024-10-25T00_00_11_112_guiding_analysis.fits,"TELLURIC,SKY",60608.0001286061,2024-10-25T00:02:49,544493.1412696871,11.273110426785308,0.012103777436773948,90,362.1462913536719,219.11323964208276
NIRPS_2024-10-25T00_02_52_736_guiding_analysis.fits,"TELLURIC,SKY",60608.0019992643,2024-10-25T00:05:30,575068.0678594171,10.868191827871883,0.009739373295693432,90,362.1559221374459,219.15403425806548
NIRPS_2024-10-25T00_05_34_361_guiding_analysis.fits,"TELLURIC,SKY",60608.0038699207,2024-10-25T00:08:12,513630.53006739874,10.829110802143628,0.009826017435264487,90,362.1251264220841,219.17289661799327
NIRPS_2024-10-25T01_30_50_766_guiding_analysis.fits,GJ1,60608.0630875707,2024-10-25T01:33:56,1054018.9207479493,34.65821257292881,0.036134557550740194,270,362.60829475270447,220.51282986156923
NIRPS_2024-10-25T01_34_00_257_guiding_analysis.fits,GJ1,60608.0652807506,2024-10-25T01:37:06,951174.7043467991,16.419224799171754,0.007443382361032777,150,362.7832749432293,220.14409462151824
NIRPS_2024-10-25T01_40_47_134_guiding_analysis.fits,TOI-177,60608.0699899799,2024-10-25T01:55:52,2447318.1368312226,45.14202018487793,0.006404280442842612,120,362.9473993812833,220.8249597795141
NIRPS_2024-10-25T01_55_55_570_guiding_analysis.fits,TOI-177,60608.0805042826,2024-10-25T02:11:00,2691408.8460370093,50.94040208667626,0.00894922262680438,270,363.0532855689395,220.8221660348741
NIRPS_2024-10-25T02_16_21_723_guiding_analysis.fits,TOI-2407,60608.0946958691,2024-10-25T02:29:51,584745.5109428178,21.604563230842018,0.006493439687431515,240,363.05208479210154,221.16871717286904
NIRPS_2024-10-25T02_29_55_414_guiding_analysis.fits,TOI-2407,60608.104113593,2024-10-25T02:43:25,601638.4148951798,22.185249166712374,0.007013796105613852,240,363.06972640254287,221.15646099980972
NIRPS_2024-10-25T02_43_29_106_guiding_analysis.fits,TOI-2407,60608.1135313182,2024-10-25T02:56:59,563716.1539636443,19.17082352819789,0.00729871691836075,270,363.04566988192227,221.17180232552522
NIRPS_2024-10-25T03_11_26_757_guiding_analysis.fits,TOI-270,60608.1329485762,2024-10-25T03:18:15,3860452.244049931,79.66832778897162,0.013436238914446178,90,363.14537173941784,221.15162430677537
NIRPS_2024-10-25T03_18_19_176_guiding_analysis.fits,TOI-270,60608.1377219485,2024-10-25T03:25:08,3636511.310055701,67.36599933518806,0.005888021526924566,270,363.2236861861988,221.25646858832158
NIRPS_2024-10-25T03_25_11_596_guiding_analysis.fits,TOI-270,60608.1424953246,2024-10-25T03:32:00,3637072.59343524,73.075814938142,0.006228135591352999,240,363.2019457586529,221.2374356349769
NIRPS_2024-10-25T03_32_04_016_guiding_analysis.fits,TOI-270,60608.1472686983,2024-10-25T03:38:52,3500938.366584203,70.82660919547014,0.004348685753715096,240,363.21796276210955,221.1943106760803
NIRPS_2024-10-25T03_38_56_435_guiding_analysis.fits,TOI-270,60608.1520420678,2024-10-25T03:45:45,3673105.726515245,77.12659468185689,0.007516875897355417,240,363.2342278688932,221.19164467279103
NIRPS_2024-10-25T03_45_48_854_guiding_analysis.fits,TOI-270,60608.1568154373,2024-10-25T03:52:37,4158632.543731004,75.15163684007668,0.006652889088535164,210,363.3072728110762,221.15677791921297
NIRPS_2024-10-25T03_52_41_273_guiding_analysis.fits,TOI-270,60608.1615888073,2024-10-25T03:59:30,4055510.13750361,78.60997769066658,0.008510079815464996,60,363.240236535208,221.128132211506
NIRPS_2024-10-25T03_59_33_692_guiding_analysis.fits,TOI-270,60608.1663621796,2024-10-25T04:06:22,3825017.9227547687,74.35113456704823,0.007977008599639459,60,363.2447362047111,221.0904417754768
NIRPS_2024-10-25T04_06_26_112_guiding_analysis.fits,TOI-270,60608.1711355543,2024-10-25T04:13:15,3775340.6529388824,75.36201646705771,0.00786845498127484,240,363.24696330771263,221.09280186450957
NIRPS_2024-10-25T04_13_18_532_guiding_analysis.fits,TOI-270,60608.175908928,2024-10-25T04:20:07,3064974.4870339367,67.64439997685243,0.010523631325808382,90,363.1788737725725,221.05531418617528
NIRPS_2024-10-25T04_20_10_951_guiding_analysis.fits,TOI-270,60608.1806823022,2024-10-25T04:26:59,2846275.452636918,59.6633225349524,0.005510795908291888,90,363.17472814385064,221.0567165093973
NIRPS_2024-10-25T04_27_03_370_guiding_analysis.fits,TOI-270,60608.185455675,2024-10-25T04:33:52,3139013.7372235116,63.446543236791534,0.007483722808729508,90,363.17890443789963,221.05542028674245
NIRPS_2024-10-25T04_33_55_790_guiding_analysis.fits,TOI-270,60608.1902290482,2024-10-25T04:40:44,3017491.7571286974,64.98612261630343,0.009506211921507338,90,363.19470013181854,220.94954228929055
NIRPS_2024-10-25T04_40_48_209_guiding_analysis.fits,TOI-270,60608.1950024229,2024-10-25T04:47:37,2870988.7139166035,67.06030394844848,0.011815090286961226,90,363.1716306434361,220.94166508820365
NIRPS_2024-10-25T04_47_40_629_guiding_analysis.fits,TOI-270,60608.1997757952,2024-10-25T04:54:29,2714673.395642818,70.0572883636607,0.013716476868640106,90,363.1704482569497,220.9401968521259
NIRPS_2024-10-25T04_54_33_048_guiding_analysis.fits,TOI-270,60608.2045491703,2024-10-25T05:01:21,2697210.519972778,62.631731343423525,0.007264211768731674,120,363.1720711603389,220.94235783056126
NIRPS_2024-10-25T05_01_25_468_guiding_analysis.fits,TOI-270,60608.2093225459,2024-10-25T05:08:14,2797018.2072422868,64.5099422407436,0.010769957657187943,270,363.1872603678569,220.8763084313792
NIRPS_2024-10-25T05_08_17_887_guiding_analysis.fits,TOI-270,60608.214095921,2024-10-25T05:15:06,3392728.454520779,78.15945738613448,0.01035276417327668,270,363.2458426002263,220.81302359158494
NIRPS_2024-10-25T05_15_10_308_guiding_analysis.fits,TOI-270,60608.2188692961,2024-10-25T05:21:59,3549817.4163888083,71.84621823988674,0.011688061169243667,60,363.19469256105043,220.782950341436
NIRPS_2024-10-25T05_22_02_727_guiding_analysis.fits,TOI-270,60608.2236426684,2024-10-25T05:28:51,3101624.3606383596,72.07943398055748,0.013390782928882568,90,363.18880116231577,220.76512988543095
NIRPS_2024-10-25T05_28_55_147_guiding_analysis.fits,TOI-270,60608.2284160459,2024-10-25T05:35:43,4151376.6877801055,71.3609895777799,0.007660377034599657,240,363.2612077074782,220.74317736763567
NIRPS_2024-10-25T05_35_47_566_guiding_analysis.fits,TOI-270,60608.2331894238,2024-10-25T05:42:36,4247838.157016044,78.82655580306422,0.008881007123592364,240,363.29519541272623,220.6998921577176
NIRPS_2024-10-25T05_42_39_986_guiding_analysis.fits,TOI-270,60608.237962797,2024-10-25T05:49:28,4343314.364091253,78.41454132006812,0.008720404952856422,240,363.2720334140133,220.69197104602375
NIRPS_2024-10-25T05_49_32_405_guiding_analysis.fits,TOI-270,60608.2427361717,2024-10-25T05:56:21,4391038.337940689,68.4457166873507,0.003822572236473302,240,363.29615548527613,220.69200542210783
NIRPS_2024-10-25T05_56_24_824_guiding_analysis.fits,TOI-270,60608.2475095426,2024-10-25T06:03:13,4328264.629934436,81.6832024961079,0.010475160385277038,90,363.26234058961495,220.52715318426675
NIRPS_2024-10-25T06_03_17_244_guiding_analysis.fits,TOI-270,60608.2522829168,2024-10-25T06:10:06,4004868.7466981867,83.17419736291798,0.011225243172499795,90,363.2499846995489,220.51559338677782
NIRPS_2024-10-25T06_10_09_663_guiding_analysis.fits,TOI-270,60608.2570562905,2024-10-25T06:16:58,3752180.3611606853,67.08413642264553,0.007816753724575857,60,363.2328605395371,220.50953746932916
